Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,EMA_20,EMA_50,BB_Upper,BB_Mid,BB_Lower
2015-03-16,27.851808547973636,27.956443022936277,27.34003753237001,27.61823864228161,36856000.0,52.44254077401,0.38101970473689306,0.5064298173666996,27.642350185953454,26.62895263671875,26.248576187644368,27.69790267944336,29.14722917124235
2015-03-17,27.65195655822754,27.802213474941897,27.49326827415622,27.68567635251468,28892000.0,50.061187274782306,0.33793784631256685,0.472731423155873,27.643265078550986,26.669070437562233,26.31416885858868,27.729144477844237,29.144120097099794
2015-03-18,28.07595443725586,28.093310910720167,27.448141943417497,27.65790840369397,35324000.0,54.755243532725736,0.33415630261129436,0.44501639904695733,27.68447358890383,26.724242359118847,26.419249907808716,27.787437725067143,29.15562554232557
2015-03-19,27.952472686767575,28.11562352549206,27.875608580105705,27.994623849019984,24660000.0,53.18726008965278,0.31753510961423714,0.41952014116041336,27.709997312509902,26.77240825432076,26.49969049913109,27.830134773254393,29.160579047377695
2015-03-20,28.015947341918945,28.12256621203645,27.99264143038708,28.10322722392035,44320000.0,53.91777892274709,0.30595767893500536,0.3968076487153318,27.739135410548858,26.821174493050098,26.635111121632303,27.887535381317143,29.139959641001983
2015-03-23,28.036773681640625,28.24852452420976,27.922220970522,28.068015330127523,30234000.0,54.17048165093506,0.2950617056007516,0.3764584600924158,27.7674819125576,26.868845049465413,26.8849638587103,27.96283798217774,29.040712105645177
2015-03-24,28.640291213989254,28.855511490485483,28.17166263496508,28.19397918240136,79156000.0,60.867424402154235,0.3313062965307836,0.3674280273800894,27.850606607932043,26.938313526505564,27.116001914319558,28.059266281127933,29.002530647936307
2015-03-25,28.11760902404785,28.765751743445072,28.11760902404785,28.641776396682705,53070000.0,53.56680761662509,0.3142320401241605,0.35678882992890365,27.876035409466883,26.984560408762125,27.269359381127597,28.108038234710694,28.94671708829379
2015-03-26,27.95098304748535,28.127029692344163,27.686669049151305,28.001069946713034,49842000.0,51.44827509415465,0.28398168110402366,0.3422274001639277,27.883173279754356,27.02245933577088,27.29491170651903,28.118823909759524,28.942736113000016
2015-03-27,27.64898109436035,27.97230899573405,27.61823507357245,27.861225682703445,34552000.0,47.761323381814066,0.23295367500016795,0.32037265513117574,27.860869262097783,27.04702881649988,27.260864516528763,28.106227970123292,28.951591423717822
2015-03-30,27.82701110839844,27.87759364275053,27.611295204391645,27.782877426269927,24788000.0,50.03450924298295,0.20452154968536718,0.2972024340420141,27.857644676031178,27.077616357358647,27.240649181261347,28.071812534332274,28.9029758874032
2015-03-31,27.50765419006348,27.89197668092577,27.506165411211686,27.668325019794075,34932000.0,46.154567112949096,0.15443917255234751,0.2686497817440808,27.82431224879616,27.09448058609217,27.200210980139452,28.012081241607667,28.823951503075882
2015-04-01,27.24928474426269,27.69609046649813,27.07770253910586,27.514096269795537,38902000.0,43.23360097880968,0.09283018427823819,0.23348586225091228,27.76954772455488,27.100551337392975,27.124281435263438,27.940572261810306,28.756863088357175
2015-04-02,26.843637466430664,27.175394849194863,26.80049315411126,27.146137606491664,47760000.0,39.05456821550589,0.011143813076557763,0.18901745241604137,27.681365795209718,27.090476283629748,26.99833601091761,27.841094493865967,28.683852976814325
2015-04-06,26.97455596923828,27.05340448591427,26.56543694970901,26.721149575441377,33718000.0,41.03555566359614,-0.04253883437117878,0.14270619505859733,27.614050573688626,27.08593038894773,26.887017489561927,27.76931266784668,28.651607846131434
2015-04-07,27.019683837890625,27.28251097577977,26.95670490460764,27.026130798260336,27318000.0,41.73854760790913,-0.0805131716600016,0.09806232171487755,27.55744421789834,27.08333248498471,26.818549640740173,27.696811866760257,28.57507409278034
2015-04-08,27.217050552368164,27.34896163497774,27.076214364887697,27.076214364887697,28386000.0,44.83616896532681,-0.09360326300591382,0.05972920477071929,27.52502577356213,27.088576330764454,26.766329047257916,27.66951246261597,28.572695877974024
2015-04-09,27.1763858795166,27.24333362363883,26.875374520588284,27.23539977682197,32366000.0,44.3133995796068,-0.1060362342536223,0.026576116965850972,27.491821974129223,27.092019842480227,26.721659317036508,27.650494480133062,28.579329643229617
2015-04-10,27.202173233032227,27.267136568432296,27.025632848374222,27.253251390894174,26104000.0,44.753307827197375,-0.11251166518714939,-0.0012414394647490973,27.464236379739035,27.096339583286188,26.673530851344665,27.619178199768072,28.56482554819148
2015-04-13,27.20713424682617,27.43673722077576,27.091094633196764,27.12828761739278,29326000.0,44.84358039777417,-0.11590707390435995,-0.02417456635267127,27.439750462318763,27.100684472052464,26.64845778127141,27.60836744308472,28.56827710489803
2015-04-14,26.76776695251465,27.10448443774592,26.56742311337836,27.10448443774592,47206000.0,38.79724311277683,-0.1522956589252651,-0.04979878486719004,27.37575203281361,27.087628883050982,26.53174671812052,27.554165363311768,28.576584008503016
2015-04-15,26.830249786376957,26.93686866461666,26.40030297870069,26.67751281880942,46962000.0,40.035481089038946,-0.17408528541217194,-0.07465608497618642,27.323799437914882,27.077535585142197,26.4423109943937,27.513080024719237,28.583849055044773
2015-04-16,26.95323181152344,27.03802976523538,26.68445336019386,26.696849759396876,31722000.0,42.501275969631884,-0.17936252027868704,-0.09559737203668656,27.288507283020458,27.072660927353226,26.392724672322228,27.45694389343262,28.52116311454301
