Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,EMA_20,EMA_50,BB_Upper,BB_Mid,BB_Lower
2015-03-16,35.5968132019043,35.665332796483234,35.356986452503286,35.519726615909306,35273500.0,36.113598491754495,-0.5741237500579075,-0.45896389746088506,36.5421191878667,37.444360885620114,35.17500572419232,36.87816276550293,38.58131980681354
2015-03-17,35.716732025146484,35.828080064184924,35.2456486917,35.43408006466827,31673400.0,37.76442900839309,-0.5708364511097628,-0.4813384081906606,36.46351088665526,37.37661073422899,35.03270677395587,36.79765033721924,38.562593900482604
2015-03-18,36.40193176269531,36.68458362470984,35.39980956249706,35.48545985970482,44194800.0,46.302548856355045,-0.5070958651651836,-0.4864898995855652,36.45764620818288,37.33838802946296,34.99570782206837,36.753539085388184,38.511370348708
2015-03-19,36.22207260131836,36.47902682004379,36.16211672586076,36.1963748923007,33879100.0,44.57390965999584,-0.465725528763862,-0.4823370254212246,36.43521062657673,37.29461095384945,34.945457823573946,36.70171928405762,38.45798074454129
2015-03-20,36.72741317749024,36.813063484968765,36.39337240403424,36.45332827273917,71904500.0,50.199515687424245,-0.38769338985152757,-0.4634082983072852,36.463039440949444,37.272367903796145,34.951059663034094,36.659749031066895,38.368438399099695
2015-03-23,36.71028900146485,36.94154879366928,36.64176612939669,36.72741971948188,26246100.0,50.014265285855494,-0.32350497152791036,-0.43542763295141024,36.486587018141385,37.250325593900804,34.98393590391715,36.60450344085694,38.225070977796726
2015-03-24,36.74454498291016,36.97580147343508,36.61606625052975,36.64176069006587,25513300.0,50.40852109885651,-0.26679556296502227,-0.4017012189541327,36.51115444335746,37.230491060136465,35.02498221275967,36.55354061126709,38.08209900977451
2015-03-25,35.51116943359375,36.77024959685232,35.494038713379595,36.76168260306985,43469900.0,38.60276010692758,-0.31771364209381403,-0.384903703582069,36.415917775760924,37.163066682624994,34.945343728240836,36.44519157409668,37.94503941995253
2015-03-26,35.29703903198242,35.639646888945954,35.0486484990514,35.30560602544938,37495600.0,36.983324589598254,-0.3710676832253199,-0.3821364995107192,36.30935789540107,37.08988912769784,34.86971985601841,36.32313823699951,37.77655661798061
2015-03-27,35.09148025512695,35.48547704080417,34.97156847403832,35.21995576314292,34401400.0,35.446036172293574,-0.4250384420008615,-0.3907168880087477,36.193369548708304,37.01152015230291,34.76920992949218,36.199800682067874,37.63039143464357
2015-03-30,35.08291244506836,35.57969354642792,35.040087276725515,35.202824223368694,35049700.0,35.380023697628026,-0.46316295361599913,-0.40520610113019806,36.08761172931403,36.935888477509394,34.718274078612495,36.07474880218506,37.43122352575763
2015-03-31,34.82595443725586,35.14286456986798,34.7231733907723,34.928735483739416,34887200.0,33.37265954015107,-0.5082524496229723,-0.4258153708287529,35.967453891975154,36.8531459661269,34.58167993561974,35.96254577636719,37.34341161711465
2015-04-01,34.87735366821289,34.911611845755495,34.52618202642927,34.774569333531424,36865300.0,34.177155449687405,-0.5336867035734869,-0.4473896373776997,35.863634823045416,36.775663915228314,34.47143050659788,35.86233406066894,37.25323761474
2015-04-02,34.509029388427734,34.8944622303294,34.363419973776374,34.82593938405837,37487500.0,31.263934619008538,-0.5769139196876694,-0.4732944938396937,35.73462478165326,36.686776286726335,34.319844358506195,35.74156475067139,37.16328514283658
2015-04-06,35.5882453918457,35.78524371433467,34.41481918078109,34.55186163413645,39223700.0,45.833087124046244,-0.518115573980964,-0.4822587098679478,35.720683887385874,36.643696643789845,34.30699101280968,35.70687599182129,37.1067609708329
2015-04-07,35.57111740112305,35.89659447802625,35.382686055421246,35.63964026672375,28809400.0,45.6676469487746,-0.4675103784680559,-0.47930904358796944,35.70643946012275,36.60163471270487,34.33059449232871,35.65034618377686,36.970097875225015
2015-04-08,35.476898193359375,35.70815795134323,35.15142440124866,35.511159624323625,24753400.0,44.711555653637674,-0.43005074182264735,-0.46945738323490505,35.68457838709767,36.55752739822074,34.31290319360922,35.624222183227545,36.935541172845866
2015-04-09,35.52829360961914,35.6482053616801,35.33129526446898,35.33129526446898,25723900.0,45.38327217395005,-0.39170124125269723,-0.4539061548384635,35.669694122575905,36.51716528886382,34.30038339152102,35.602809524536134,36.90523565755125
2015-04-10,35.73386001586914,35.930858366912055,35.46833879454158,35.65677342047406,28022000.0,48.099318414583195,-0.34079304468076543,-0.43128353280692394,35.675805160032404,36.48644743502089,34.348291638317185,35.632788276672365,36.917284915027544
2015-04-13,35.768123626708984,36.02508116202886,35.45121347179213,35.45978046555655,30276700.0,48.55850661414114,-0.2942907445681726,-0.40388497515917365,35.68459739495398,36.45827787391062,34.366465385108285,35.64906368255615,36.93166198000401
2015-04-14,35.67390823364258,35.99938210281029,35.45121214700082,35.80238372915068,24244400.0,47.31878364195352,-0.2620193357266487,-0.3755118472726687,35.68357937959099,36.42751828017462,34.370517944787586,35.65291843414307,36.93531892349855
2015-04-15,36.19636917114258,36.36767304566682,35.69959152910688,35.768111118506795,27343600.0,54.2883097816983,-0.1920716974806993,-0.33882381731427486,35.7324165025959,36.41845360923218,34.371737969513156,35.67690029144288,36.9820626133726
2015-04-16,36.110721588134766,36.26489476008702,35.81950595970828,35.930853976640435,22509700.0,53.0493046009335,-0.14191285137431464,-0.2994416241262828,35.76844555836151,36.4063856868362,34.38503411710484,35.662339782714845,36.93964544832485
2015-04-17,35.6482048034668,35.750989104209715,35.254208119336035,35.69102996176794,42387600.0,46.833207699696196,-0.13789329549383922,-0.2671319583997941,35.75699405789535,36.376653103174654,34.38379552735296,35.633646392822264,36.88349725829157
2015-04-20,36.75309753417969,36.975790232944846,35.69958335791397,35.74240849990548,46057700.0,59.14803517036149,-0.045033046180250835,-0.22271217595588547,35.85186105563672,36.39141562988073,34.38030412168605,35.63493061065674,36.889557099627424
2015-04-21,36.52185821533203,36.95868340237571,36.42764088999513,36.83020463739799,26013800.0,56.213400917122456,0.009787466122375577,-0.17621224754023326,35.91567030894103,36.396531025388626,34.40245114126594,35.6255090713501,36.84856700143426
2015-04-22,36.82163238525391,36.94154412888096,36.44476317116894,36.54754419894213,25064300.0,59.04991948581907,0.07654008087036601,-0.1256617818581134,36.00195241144702,36.41320166695197,34.39106594180376,35.62936344146729,36.86766094113082
2015-04-23,37.12141036987305,37.352670124312624,36.658890860993885,36.73597744580708,46309500.0,61.720472446887584,0.1518807996782101,-0.07015326555084872,36.10856745510664,36.44097455726261,34.305660125178846,35.709875488281256,37.114090851383665
2015-04-24,41.001426696777344,41.23268644660199,39.09996308824659,39.10852681201056,130933700.0,79.9478871833089,0.5186945649966219,0.04761630055864541,36.574554049551466,36.61981581763573,33.25862665002993,35.995094871521005,38.73156309301208
2015-04-27,41.138465881347656,41.22411944893392,40.44468995432125,40.45325367740512,59248200.0,80.30460039854097,0.81110511875886,0.20031406419868836,37.00921231924634,36.79701778091855,32.76180094429287,36.297444152832036,39.8330873613712
2015-04-28,42.1063346862793,42.14915984120738,40.855821865219895,40.92434145963485,60730800.0,82.65189458053628,1.108167250803497,0.3818847015196501,37.49465254467805,37.005226287011126,32.31562382886144,36.648615264892584,40.98160670092373
2015-04-29,42.02069854736328,42.23482766156587,41.54104815530312,41.72948282135371,47804600.0,81.7238331523897,1.3214481779243243,0.5697973968005849,37.92570454493378,37.2019114736916,32.149733663237996,37.00835247039795,41.86697127755791
2015-04-30,41.66096115112305,42.4318272916677,41.62669970768749,41.71235331627639,64725500.0,77.77319682421621,1.4447923806360237,0.7447963935676727,38.28144326933276,37.37677616692421,32.1781068455607,37.34753284454346,42.51695884352622
2015-05-01,41.67806625366211,41.86650080937736,41.4553735429206,41.609546676260514,38937300.0,77.82808090414447,1.5263292156624217,0.9011029579866225,38.60493117260222,37.54545420954138,32.37364546056142,37.70598468780518,43.038323915048935
2015-05-04,41.31835174560547,41.857954714299154,41.2669595863891,41.42969652288154,34039500.0,73.70624564277351,1.5441221117992399,1.029706788749146,38.86335217955491,37.69341097566154,32.525201293107145,37.99249000549317,43.45977871787919
2015-05-05,40.77016830444336,41.249818534940886,40.521781098820426,40.95860290702272,50369200.0,67.81218389208595,1.496735848659327,1.1231126007311822,39.04495371525857,37.81406812580985,32.775517505089,38.25244255065918,43.729367596229366
2015-05-06,39.63957214355469,40.91578283036274,39.41687934978934,40.74447892197,52433000.0,57.58440057241727,1.3523630330952372,1.1689626872039933,39.10158404176297,37.88565651866259,33.112906768703354,38.460576248168955,43.80824572763456
2015-05-07,39.999298095703125,40.333338814950174,39.53677866873832,39.63099595208477,32971700.0,59.66872211914953,1.2525349711227207,1.1856771439877387,39.1870806183287,37.96854442364457,33.480719865893256,38.68412647247315,43.88753307905305
2015-05-08,40.89864349365234,41.09564180321521,40.70164518408948,40.72733962136085,35364900.0,64.38128143331627,1.23179085207898,1.1948998856059871,39.35008660645477,38.08345026952723,33.843870397923915,38.94236564636231,44.04086089480071
2015-05-11,40.57317352294922,41.03569307841189,40.57317352294922,40.72734670810344,24609400.0,61.57711815269913,1.1755374181045326,1.1910273921056964,39.46657107469233,38.181086475543786,34.26425507912989,39.182618141174316,44.100981203218744
2015-05-12,40.55604553222656,40.83869747979287,39.75948511116746,40.12778738186577,29928300.0,61.4254925616307,1.116701441592781,1.1761622020031133,39.57033054683845,38.274222124825464,34.7636021175332,39.42672500610351,44.08984789467382
2015-05-13,40.795860290527344,41.38685518753815,40.74446815138967,41.27550718641457,34184600.0,62.806433616510546,1.0770094584740306,1.1563316532972967,39.687047665285014,38.37310989602946,35.21600347439537,39.656699562072745,44.09739564975012
2015-05-14,41.72947311401367,41.81512343282986,41.138474805191166,41.138474805191166,32980900.0,67.66028549376344,1.1081143754713665,1.1466881977321106,39.88156437468774,38.504731983009236,35.737063862947664,39.937637138366696,44.13821041378573
2015-05-15,41.36973190307617,41.892207309071495,41.15560285257645,41.857945876827536,28642700.0,64.18446994409325,1.0911589360586404,1.1355823453974168,40.023294615486634,38.61708492105108,36.501016471814,40.22371349334717,43.94641051488034
