Date,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,EMA_20,EMA_50,BB_Upper,BB_Mid,BB_Lower
2015-03-16,1006.292232875671,1015.945682118298,993.369111404558,997.37841796875,1556296.0,44.80189239545501,5.2076201886602576,12.558019523165342,1021.7808893820309,998.498505859375,986.3864998016571,1032.601824951172,1078.8171501006868
2015-03-17,1005.2417186061202,1014.6615832745422,995.6077466659455,1005.7088012695312,1267318.0,47.57234834565645,3.414517621613868,10.729319142855047,1020.2502143236975,998.7812625421262,990.2325551692256,1033.4766815185546,1076.7208078678837
2015-03-18,1008.5303835115325,1011.839018730816,993.2522738224883,996.2301025390625,1255170.0,44.81603307566211,1.2146177900544899,8.826378872294935,1017.9625846299227,998.68121705181,988.2183933784532,1032.9813537597656,1077.7443141410781
2015-03-19,1002.7111078929946,1014.3302944192418,999.6360613746142,1010.5934448242188,2448964.0,49.58300637428971,0.6230014343434505,7.185703384704638,1017.2607617912843,999.1483632389633,986.4291767250851,1032.2145294189452,1077.9998821128054
2015-03-20,1010.4962037789503,1019.0597309296194,1003.8205831265856,1016.3154907226562,1963908.0,51.38470936500218,0.6088441169596308,5.870331531155637,1017.1707359752245,999.8215839245983,984.8678367395758,1030.8502136230468,1076.8325905065178
2015-03-23,1018.2811588897825,1024.1199270026827,1014.3886468145158,1018.728759765625,1566608.0,52.16118134638585,0.7833252977424081,4.852930284472992,1017.3191191933578,1000.563041800717,983.7117632159768,1029.7136047363283,1075.7154462566798
2015-03-24,1023.730937731564,1026.45569688142,1005.0858381332304,1008.6669311523438,2394878.0,48.670767262684485,0.1084472987463414,3.9040336873276615,1016.4951012846898,1000.8808413831338,981.7519841864394,1027.6632293701173,1073.5744745537952
2015-03-25,1008.7059418886712,1017.5030606863162,990.722547963292,1001.835693359375,2224858.0,46.40058781804797,-0.966481183082692,2.9299307132455907,1015.0989671965646,1000.9182865586727,979.4234320899004,1025.1136566162108,1070.8038811425213
2015-03-26,993.8752372257239,1006.8761909837618,973.5173778116583,978.2273559570312,3091642.0,39.53706469462353,-3.680933761533538,1.6077578182897652,1011.587385173752,1000.028446142922,972.3947195559665,1022.0171752929687,1071.6396310299708
2015-03-27,985.194643458875,1001.114977203266,974.7238257193928,978.8887939453125,2751776.0,39.80571497199471,-5.71292937508349,0.1436203796151141,1008.4732336281863,999.1994401743883,966.4245602312939,1019.260284423828,1072.0960086163623
2015-03-30,982.8593028850137,1000.3366441591456,980.9130468396968,998.0984497070312,1339006.0,47.150128672661374,-5.707449930347707,-1.02659368237745,1007.4851589690287,999.1562640776292,964.3469846612189,1017.3490447998047,1070.3511049383903
2015-03-31,1000.1615679779459,1000.1615679779459,981.30236462572,994.128173828125,2427028.0,45.903510208927955,-5.95483191777123,-2.0122413294562063,1006.2130651460855,998.9590840678447,962.166506189599,1015.102084350586,1068.037662511573
2015-04-01,995.7046587254508,997.8845036533811,981.7889270798547,989.7296142578125,2075758.0,44.49978198478293,-6.431670626714549,-2.896127188907875,1004.6432126805357,998.5971440752944,966.4156313271889,1010.5604949951172,1054.7053586630454
2015-04-06,995.7045194048808,997.6118121759184,973.1669140738514,991.53955078125,1568542.0,45.24181584348818,-6.587584415308129,-3.634418634187926,1003.3952448806037,998.3203757108221,971.3968759707822,1006.6932769775391,1041.989677984296
2015-04-07,997.4367218720843,1011.6638722875362,990.255056213733,1006.21435546875,1886922.0,50.96607586685531,-5.4640272157412255,-4.000340350498586,1003.6637316032843,998.6299435444664,975.566342394454,1004.524154663086,1033.481966931718
2015-04-08,1009.717981428157,1034.0461903099072,1008.4918777133432,1028.16845703125,1652134.0,58.034056202064654,-2.770154900943794,-3.754303260587628,1005.9975149773762,999.7883166223795,975.8419254902069,1004.419058227539,1032.9961909648712
2015-04-09,1035.019079902624,1046.0932590245454,1025.7353995221204,1037.179443359375,2544450.0,60.54774689736419,0.09082265848803672,-2.985278076772495,1008.9672224423284,1001.254635317948,974.5461198260911,1004.8443145751953,1035.1425093242997
2015-04-10,1030.9318948854436,1039.6122164238302,1022.9522445757772,1032.9754638671875,1815544.0,58.77882489558613,1.9959340899082463,-1.9890356434363468,1011.2537216256484,1002.4985893787026,973.1902321596199,1005.7629455566407,1038.3356589536616
2015-04-13,1036.9650066636461,1037.3542577922738,1022.9519660330565,1033.6563720703125,1308642.0,58.98782004760506,3.5201145371117946,-0.8872056073267185,1013.3873073822831,1003.7204632097461,972.075897221203,1006.4723297119142,1040.8687622026255
2015-04-15,1033.3454677181537,1056.3891270234508,1015.71236378741,1022.8551635742188,2913934.0,54.28593873192519,3.81252287597772,0.05274008933416918,1014.2890079719913,1004.470843616196,972.1994091998994,1007.355941772461,1042.5124743450226
2015-04-16,1022.5436211661124,1022.5631027363354,1000.9013072252585,1005.3582153320312,3217570.0,47.65878663192389,2.6024022232796824,0.5626725161232718,1013.4384562919951,1004.5056425070131,972.8953047489545,1007.754931640625,1042.6145585322956
2015-04-17,995.3542903911825,996.483080868416,961.4504725566358,963.33837890625,9668742.0,36.222305680107844,-1.7273647519539281,0.10466506250783186,1008.6670203504955,1002.8912400128655,965.5022921819094,1005.6364105224609,1045.7705288630125
2015-04-20,965.3621423892374,966.8607020007599,943.8755021707296,945.4130249023438,2890722.0,32.625591769495834,-6.529890026286694,-1.2222459552510734,1002.6428303078144,1000.6371923614724,954.8411667387342,1003.095556640625,1051.3499465425157
2015-04-21,945.4135505962181,954.4441615028854,934.5923457456884,944.7323608398438,2546032.0,32.493651282628484,-10.272435564994225,-3.032283877199704,997.1275475013409,998.444846027291,945.1389971221315,999.8025024414063,1054.4660077606811
2015-04-22,946.4644455938165,962.6183730016485,937.1418968552241,951.75830078125,4186812.0,35.397828383338975,-12.527090728883877,-4.931245247536539,992.8066668613322,996.6140011156815,938.4990944016556,996.574642944336,1054.6501914870164
2015-04-23,962.2291884585792,965.2653675256602,946.5423424720389,956.4877319335938,4342990.0,37.351616682732825,-13.773523022013364,-6.699700802431905,989.3477206777382,995.0404219320702,933.7384667912327,993.4625915527344,1053.186716314236
2015-04-24,955.7287971511826,978.5778309192165,952.7120993828357,970.4230346679688,3625158.0,42.83735269466997,-13.481461232725906,-8.056052888490704,987.5453696291887,994.0750341962231,931.428359292584,991.5503967285157,1051.6724341644474
2015-04-27,972.9331096467968,980.9127570753863,967.6782198767501,973.20556640625,2733052.0,43.89379153396242,-12.877034663902805,-9.020249243573126,986.179674084147,993.2566236946556,929.6655271551442,990.1188903808595,1050.5722536065748
2015-04-28,977.0205308077092,977.0205308077092,955.6506775291506,971.1817626953125,3088298.0,43.267457023785354,-12.418177281635963,-9.699834851185694,984.7513015709247,992.390942871152,928.9405125448391,989.7666107177735,1050.5927088907079
2015-04-29,966.9002661076812,971.182030571121,954.0744542895166,968.184814453125,2019620.0,42.30476349114514,-12.156228738990194,-10.191113628746594,983.173540893039,991.4416829331901,927.8167969671551,989.2314117431641,1050.6460265191731
2015-04-30,965.3434740665612,969.2359880748941,944.7521129753122,958.9986572265625,3738054.0,39.41025242129283,-12.54526474514455,-10.661943852026187,980.8711710200413,990.1694074152831,924.5744684717224,987.2764221191405,1049.9783757665587
2015-05-04,969.6247549911559,974.9964406450446,956.4680452104816,965.9463500976562,1890630.0,42.608589707814716,-12.152867144920265,-10.960128510605003,979.4497595036237,989.2194835989056,922.5500747501939,985.8673309326172,1049.1845871150406
2015-05-05,973.5174936493478,987.3164331194939,973.1282423524068,980.076416015625,3255070.0,48.55624804932596,-10.579754169579815,-10.884053642399966,979.5094410761952,988.8609319289732,922.0442138885393,985.3846710205079,1048.7251281524766
2015-05-06,978.9670081575806,978.9670081575806,955.9233504709781,958.7454223632812,3394406.0,41.55502042004712,-10.928308976897938,-10.892904709299561,977.5319154844891,987.6799315538481,919.3856795749101,983.7449645996093,1048.1042496243085
2015-05-07,959.465442900807,994.0504571719648,955.1058475673931,990.7418212890625,3205028.0,52.59623010587327,-8.524434806479348,-10.41921072873552,978.7900017515913,987.8000056611114,919.3819131425046,982.971337890625,1046.5607626387455
2015-05-08,996.4833935107331,1007.3824306272567,979.4731295888568,983.7354125976562,3003664.0,50.35299990427417,-7.10282884428068,-9.755934351844552,979.2609932607403,987.6406098547014,920.808907134586,980.7496856689453,1040.6904642033046
2015-05-11,986.7516294667419,997.6701428347001,982.8591181078987,994.9259033203125,2573082.0,53.74616740861914,-5.015402362183636,-8.80782795391237,980.7528894568901,987.9263076376667,924.3596703012947,978.6370086669922,1032.9143470326896
2015-05-12,996.4835000645455,998.429756900609,978.188685805548,982.042236328125,2467386.0,49.54752136471439,-4.3505555922571375,-7.916373481581323,980.8756843970077,987.6955597431748,928.1367334888729,976.0903472900391,1024.0439610912051
2015-05-13,991.422997938092,991.422997938092,965.5183065670255,979.1226196289062,1863774.0,48.620578602395796,-4.012989163423299,-7.135696617949719,980.7087258476647,987.3593660132035,933.7085436574782,973.3636596679689,1013.0187756784596
2015-05-14,980.9132065791612,980.9132065791612,967.2894120433396,972.8362426757812,1309050.0,46.59910612004656,-4.204259334661174,-6.549409161292011,979.9589655455807,986.7898317646772,938.7599717825615,970.862713623047,1002.9654554635324
2015-05-15,978.966794822311,985.7397278750673,973.517277873002,977.4681396484375,1461454.0,48.304571870788415,-3.9367070398388933,-6.026868737001388,979.721744031567,986.4242752110993,941.5205788924532,969.4682098388672,997.4158407852813
