Date,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,EMA_20,EMA_50,BB_Upper,BB_Mid,BB_Lower
2015-03-16,411.7584286673578,425.06738751155456,411.7584286673578,422.2081298828125,6818632.0,57.55115033621386,1.7988135165405765,3.917388312053222,416.7800551664234,406.4638592529297,406.0900589282065,421.40158081054693,436.7131026928874
2015-03-17,422.2080296988175,424.60161258397,413.0063283622757,417.33709716796875,5539312.0,53.39892137815164,1.6894080767115724,3.4717922649848925,416.8331067856182,406.890260739794,405.76897033122776,420.88374786376954,435.9985253963113
2015-03-18,419.9448569401092,421.50022645250215,413.9935516954357,415.2881164550781,4905564.0,51.708892868982524,1.4209875974501074,3.0616313314779355,416.6859648493763,407.21958841490317,405.21101867746165,420.42505493164066,435.63909118581967
2015-03-19,416.23813414211514,418.9203986285786,414.0308208322246,415.465087890625,6891740.0,51.85063602148762,1.2086104407794664,2.691027153338242,416.5696908533048,407.54294133551974,404.8532726950767,419.8098953247071,434.7665179543375
2015-03-20,417.43028861414274,422.6271936956501,415.93080882579727,420.4944152832031,6430896.0,55.81942247209318,1.429644649168722,2.4387506525043383,416.9434741323427,408.0508422746446,405.5672858102934,419.18356018066413,432.79983455103485
2015-03-23,419.6655371880907,423.7634696417693,414.54312162099234,416.0239562988281,5078700.0,51.737197220871806,1.2299095413279701,2.1969824302690646,416.8559010053413,408.36351341284785,405.34954853565375,418.721144104004,432.09273967235424
2015-03-24,416.2940397681224,419.7400284352809,410.910864851444,411.926025390625,6736532.0,48.25352061701115,0.7325053867660927,1.9040870215684702,416.38638904203503,408.50321976491756,404.60914630444034,418.21682281494145,431.82449932544256
2015-03-25,414.0587709281026,415.2229561959916,409.9329165290985,413.3509826660156,6170968.0,49.52621092588198,0.4481254427756767,1.6128947058099115,416.0973027205094,408.6933281139803,404.16881264110896,417.7166870117188,431.2645613823287
2015-03-26,411.2833396083695,412.5685818542522,397.1268478464872,399.7998352050781,15740840.0,39.56133712652159,-0.8607894155568374,1.1181578815365618,414.545162957135,408.3445636861802,402.00582313587535,416.12174987792974,430.23767661998414
2015-03-27,403.0875260504261,414.39408480701246,402.90125639883166,410.1936950683594,10074220.0,48.17455119332863,-1.0473431255492756,0.6850576801193944,414.13073744391824,408.4170786423441,401.41393933958614,415.6006591796875,429.7873790197889
2015-03-30,410.8363670037936,417.2440249102334,408.8432453254395,415.0087890625,4623088.0,51.61469407145858,-0.7974578432409203,0.3885545754473315,414.2143614075927,408.67557709019337,401.3895857918501,415.24907226562505,429.1085587394
2015-03-31,418.17534089826046,423.51194788235824,410.6034982389827,413.2112731933594,8016412.0,50.27309822045267,-0.7359825165406164,0.16364715704974198,414.11882919671336,408.85344752561167,401.8166700259813,414.56592864990233,427.31518727382337
2015-04-01,409.5883060193667,409.7000859972582,401.91400570647744,404.9408874511719,6738488.0,44.53711179197712,-1.3391766928154993,-0.1369176129233063,413.2447395066618,408.70001379720225,401.65042407860574,413.41198883056643,425.1735535825271
2015-04-06,405.8815992898155,406.9433272831677,402.41696533677947,405.7325744628906,7741752.0,45.18188795858499,-1.733348930354623,-0.45620387640956966,412.5292952167788,408.58364362722926,401.3299247003062,412.5137023925782,423.69748008485016
2015-04-07,405.1365390644219,406.58945161005875,398.2445611584984,402.2493591308594,8542268.0,42.82306302855355,-2.3002834001515,-0.8250197811579557,411.55025368478647,408.3352403136461,400.0111393410134,411.69318389892584,423.3752284568383
2015-04-08,406.53345407692257,410.705875461019,404.77321522663135,409.8956298828125,10185576.0,49.10457397689943,-2.108289851829113,-1.081673795292187,411.39267046555085,408.3964320614566,400.2088949112303,411.7909698486328,423.37304478603534
2015-04-09,411.91672180204176,413.3137442990768,406.88744081271557,412.5873107910156,10581548.0,51.139549938112175,-1.7191204768272996,-1.2091631315992097,411.50644573464274,408.56078024692954,400.4171825301806,411.9492980957031,423.48141366122564
2015-04-10,411.6932519288873,416.87155830780307,411.6932519288873,416.1171569824219,7123776.0,53.75110269188342,-1.113041407333867,-1.1899387867461413,411.94556109157406,408.85710874636067,401.05736187619493,412.4312713623047,423.80518084841447
2015-04-13,416.87148299505185,417.9891009119287,412.79219578884727,417.0205078125,4872336.0,54.422496333693985,-0.5534467264728278,-1.0626403746914788,412.4288893507099,409.177242043072,401.06705999370115,412.6221969604493,424.1773339271974
2015-04-15,416.5920496585814,418.17534159781593,408.87118217951166,412.3450927734375,6237784.0,50.348585490378944,-0.48167834171800905,-0.9464479680967849,412.420908724303,409.3014714834785,401.01325970069394,412.55979614257814,424.10633258446234
2015-04-16,413.89115439757956,415.5675812155715,402.4355711413009,408.7966613769531,9007812.0,47.44569406333437,-0.7030260907981187,-0.8977635926370517,412.0757423102697,409.2816750087128,401.1741633884714,411.8892227172851,422.60428204609883
2015-04-17,406.07712538858834,408.8525247495219,401.12233492535466,405.9281005859375,6450316.0,45.17800802961343,-1.0972660588388408,-0.9376640858774097,411.490252622238,409.15016228625103,400.6101267122241,411.31877288818356,422.02741906414303
2015-04-20,405.3226334280132,406.0677117982853,393.9881105298592,397.1546936035156,12825384.0,39.033189489255456,-2.0935119918406713,-1.168833667070062,410.1249612871216,408.6797517496732,398.1592297618095,410.4121017456054,422.6649737294013
2015-04-21,400.1072173371057,401.42975007270337,394.9103121738213,399.10137939453125,8881648.0,40.95228824068153,-2.6948976940050784,-1.4740464724570654,409.0750963449701,408.30412930437353,396.5988373766878,409.59391632080076,422.5889952649137
2015-04-22,400.6753472147532,401.4111032508038,390.7844104245347,398.1886291503906,12350984.0,40.311559465010916,-3.2081697286350277,-1.8208711236926578,408.0382899454864,407.9074430238252,395.5943268355645,408.47862701416017,421.3629271927558
2015-04-23,400.2375811502569,400.47974078639515,393.4014942050542,395.2641906738281,11891800.0,38.24681393965781,-3.8070341387560234,-2.2181037267053307,406.8217090624713,407.41162920617825,393.7934636018387,407.44063873291014,421.0878138639816
2015-04-24,397.8533663929515,400.5170317452511,368.81394329089875,371.6452331542969,43565452.0,26.459375396498658,-6.1169782606224885,-2.9978786334887624,403.471568499788,406.0090254394378,384.5776140192765,405.4265991210938,426.27558422291105
2015-04-27,372.5393189538876,372.91185827284147,362.8719190794351,369.6800842285156,19822640.0,25.748337420528753,-8.013818404191284,-4.001066587629267,400.253331902524,404.58436107822513,377.35100722756357,403.2430541992188,429.13510117087407
2015-04-28,369.1864496538872,369.1864496538872,363.598360103122,365.25616455078125,10393500.0,24.173454154877145,-9.761526429379956,-5.153158555979405,396.92026834521516,403.04207886146264,370.546018681664,401.51587066650393,432.48572265134385
2015-04-29,365.25616696176957,367.32375556160156,360.9812647844196,365.302734375,8289056.0,24.225995533586026,-11.015855905537308,-6.325698025890986,393.90907463376607,401.5621045678759,364.6570499049825,399.271322631836,433.88559535868944
2015-04-30,365.08854363596504,366.019891961567,359.92888300732875,361.7822570800781,13134260.0,22.932363837997,-12.153891650776472,-7.491336750868085,390.849377723891,400.00211054874654,359.0325352241631,396.60999603271483,434.18745684126657
2015-05-04,364.9953427351749,372.539262807017,363.20715882129963,371.2539978027344,13361592.0,33.25850139121913,-12.151428753634832,-8.423355151421434,388.98315106473325,398.8747335783147,356.1602572418399,394.5121322631836,432.86400728452736
2015-05-05,372.53931376178195,373.22850239704314,363.60769280954133,365.60076904296875,9408516.0,30.62131320846778,-12.461991128406794,-9.231082346818507,386.75625753885095,397.56987222398743,352.44960683586476,392.54512634277353,432.6406458496823
2015-05-06,367.8825612237808,367.8825612237808,356.76227213920157,358.01959228515625,10508408.0,27.47500689993,-13.168058472473547,-10.018477571949516,384.01943227659433,396.0188808538372,347.75635413108114,390.15947723388683,432.5626003366925
2015-05-07,358.0102828539939,366.41103988637144,355.7750469568826,362.10821533203125,6779984.0,31.559298799431428,-13.245023829783918,-10.663786823516396,381.9326497104455,394.6890508333742,344.38085871428893,388.15242004394537,431.9239813736018
2015-05-08,364.7159570987322,366.49484126558065,362.3410191758472,364.7066345214844,5777676.0,34.09931131134148,-12.947102578036151,-11.120449974420348,380.2920768353063,393.51326980153544,342.18196737235763,385.89297027587895,429.60397317940027
2015-05-11,366.0198761252539,372.5393141223958,363.6356154196725,371.35650634765625,4785512.0,40.21445084788482,-12.035669057592827,-11.303493791054844,379.44107012219683,392.6443771170696,341.5558481088317,383.83143005371096,426.1070119985902
2015-05-12,371.35646866161585,371.5334157226689,361.7356373031482,362.68560791015625,8284892.0,35.57849303279276,-11.876119946190329,-11.41801902208194,377.84531181628824,391.4695234226809,340.76352904227366,381.1598526000976,421.5561761579216
2015-05-13,363.551820683872,366.00127133983193,359.2210509485575,364.4738464355469,7099084.0,37.18674706483526,-11.473125176585256,-11.429040252982606,376.5718389228843,390.41086942318543,341.24070393682075,378.53251953125,415.8243351256792
2015-05-14,365.0885482932933,365.23757312248915,355.4025255834712,360.3945617675781,6233844.0,35.03790195845737,-11.352053690418302,-11.413642940469746,375.0311458604742,389.233759319044,341.4264732303329,375.934992980957,410.44351273158117
2015-05-15,360.4317765559788,366.31789301053436,359.928857590866,365.41448974609375,5189344.0,39.65882604307761,-10.727378884560608,-11.276390129287918,374.1152738495809,388.2996703161832,342.6695272229243,373.76588439941406,404.86224157590385
2015-05-18,366.95122626441275,372.3344239282765,365.3865565895948,371.2447509765625,6469976.0,44.58876802614434,-9.650619905636916,-10.951236084557719,373.84189071881724,387.6308499499236,344.8676054654386,372.0317169189453,399.19582837245196
2015-05-19,370.1736555005919,379.1890876629484,369.93149587939126,376.702392578125,10272076.0,48.80529407387253,-8.261659325379583,-10.413320732722092,374.11431946732273,387.2022829941668,346.40825061887733,371.0091018676758,395.60995311647423
2015-05-20,379.9900760111718,382.22531175241403,378.79794573491057,381.349853515625,5882188.0,52.14479509493639,-6.708554758079572,-9.672367537793587,374.8034179481134,386.9727759557926,348.7146491835147,370.1215255737305,391.52840196394624
2015-05-21,381.6478686439951,384.0693741000188,379.4778454064924,381.5640563964844,10059312.0,52.29924088019671,-5.398196764621275,-8.817533383159125,375.44728827652966,386.760669306408,351.4839788248312,369.29029693603513,387.0966150472391
2015-05-22,380.7351462773937,382.14149116241214,378.14599371939596,381.1914978027344,6888824.0,51.98498834245354,-4.3397648710756584,-7.921979680742432,375.9943558504539,386.542270423911,354.34696999721865,368.58666229248047,382.8263545877423
2015-05-25,381.94591826191925,383.0728587423814,373.8525110447638,375.66864013671875,4675808.0,47.434751651826815,-3.901622946400664,-7.1179083338740785,375.9633353062887,386.1158535499035,354.2555300498617,368.7878326416016,383.3201352333415
2015-05-26,376.26472454484673,378.3975031209544,372.93981556119576,373.89910888671875,3965040.0,46.04412878541058,-3.655045607166471,-6.425335788532557,375.76674231394867,385.63676552389626,354.2905250993152,368.9987838745118,383.7070426497084
2015-05-27,373.84328898845786,374.21582838954254,364.15726456025664,366.6719055175781,8454708.0,40.785041637228446,-3.9967343354225022,-5.939615497910546,374.90056738096104,384.8930455236485,354.4236581874442,369.0695709228516,383.715483658259
2015-05-28,367.91980998214154,378.4999353813051,367.91980998214154,375.6313781738281,10980540.0,48.619849268251514,-3.5041765820142814,-5.452527714731294,374.9701684088531,384.52984288247904,354.77191080362127,369.586003112793,384.4000954219647
2015-05-29,373.4427572814972,383.0542680644119,372.72562357284716,376.85150146484375,18993044.0,49.59787815420079,-2.9810041014907824,-4.958222992083191,375.1493429856141,384.22873145433647,355.6643361398713,370.3394653320313,385.0145945241913
2015-06-01,378.64897874619936,384.46058311671885,376.87009437543674,381.4430236816406,5724892.0,53.20756563787964,-2.1708642991539477,-4.400751253497343,375.74874114714044,384.1194880122699,355.35549489255123,370.8489166259766,386.34233835940194
2015-06-02,381.49889466981426,382.8027822413957,373.4706544315385,374.1505432128906,4673140.0,47.40109271694991,-2.093136522190207,-3.9392283072359158,375.596531820069,383.72854900052954,355.92150343281685,371.27640533447266,386.63130723612846
