Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2015-01-02,26.260456085205078,26.570394419370675,26.177638761404815,26.4117042519015,26480000
2015-01-05,25.760095596313477,26.183099839449802,25.675297631102644,26.141444300388933,41182000
2015-01-06,25.124347686767578,25.846874452934344,25.070293862462776,25.81166587947732,54456000
2015-01-07,25.050458908081055,25.364859835605216,24.976074833139705,25.33808262798601,46918000
2015-01-08,25.137737274169922,25.166994516697418,24.54810906238955,24.8699500804736,73054000
2015-01-09,24.830774307250977,25.221545610890498,24.728124245531504,25.200717842806696,42000000
2015-01-12,24.649274826049805,24.808954375529883,24.34429464256883,24.75738058619834,57138000
2015-01-13,24.88433074951172,25.22154383043746,24.659192240158898,24.922514988303167,60958000
2015-01-14,25.089139938354492,25.204685817337108,24.703826212739322,24.815898905182777,52800000
2015-01-15,24.99392318725586,25.27856930708844,24.894742543827252,25.23592251951945,51068000
2015-01-16,25.313783645629883,25.33312263498767,24.94830266324565,24.951278328926936,49658000
2015-01-20,25.287996292114258,25.569173057999514,25.25973030516724,25.428336860554808,46796000
2015-01-21,25.806215286254883,25.878616849757385,25.270640832917696,25.33262851177355,46356000
2015-01-22,26.6447811126709,26.721149592800394,25.88159004863909,25.935641982816453,56068000
2015-01-23,26.875377655029297,27.046959881522046,26.56791930031121,26.680985143349346,45966000
2015-01-26,26.61602020263672,26.853061388067903,26.385425977502006,26.853061388067903,30932000
2015-01-27,25.845884323120117,26.420634231646282,25.829519108082973,26.3521995975943,39148000
2015-01-28,25.411474227905273,26.06903955847943,25.407507304437367,26.034822242462525,35822000
2015-01-29,25.451148986816406,25.548345239425768,24.96764397707178,25.434783771142534,79018000
2015-01-30,26.657180786132812,26.932406219626575,25.696619620132207,25.737283898903133,121108000
2015-02-02,26.39187240600586,26.60511015362786,25.872167586263934,26.49700250116337,75378000
2015-02-03,26.446420669555664,26.652218298064415,26.12457965499123,26.27979664583379,47062000
2015-02-04,26.089372634887695,26.617506938356748,26.03631006584765,26.438486504897366,33896000
2015-02-05,26.274343490600586,26.316990282581052,26.066559557654234,26.180121018325785,33176000
2015-02-06,26.475183486938477,26.789584406297493,26.21582765179482,26.33286040937498,42938000
2015-02-09,26.2470703125,26.475184505245064,26.16127920279256,26.33533956720351,30314000
2015-02-10,26.78660774230957,26.828263275653615,26.241612622678073,26.38939139694253,47430000
2015-02-11,26.679492950439453,26.875374215825545,26.580312299499035,26.76528405270726,38306000
